feature,importance_mean,importance_std
motion_std,0.044642857142857095,0.008928571428571397
intensity_to_motion,0.044642857142857095,0.008928571428571397
motion_middle,0.0357142857142857,0.0
motion_end,0.0357142857142857,0.01785714285714285
hog_mean_85,0.0357142857142857,0.01785714285714285
motion_p90,0.0267857142857143,0.008928571428571452
gray_std_mean,0.0267857142857143,0.008928571428571452
gray_std_p90,0.0267857142857143,0.008928571428571452
hog_mean_69,0.0267857142857143,0.008928571428571452
hog_mean_115,0.0267857142857143,0.008928571428571452
hog_mean_65,0.0267857142857143,0.008928571428571452
hog_mean_119,0.0267857142857143,0.008928571428571452
hog_mean_134,0.0267857142857143,0.008928571428571452
hog_std_58,0.0267857142857143,0.008928571428571452
hog_mean_60,0.0267857142857143,0.008928571428571452
hog_mean_125,0.0267857142857143,0.008928571428571452
hog_mean_124,0.017857142857142905,0.01785714285714285
hog_mean_112,0.017857142857142905,0.01785714285714285
hog_mean_8,0.017857142857142905,0.01785714285714285
motion_p75,0.017857142857142905,0.01785714285714285
hog_std_115,0.017857142857142794,0.0
hog_mean_123,0.017857142857142794,0.0
hog_mean_61,0.017857142857142794,0.0
hog_mean_31,0.017857142857142794,0.0
motion_trend,0.017857142857142794,0.0
gray_middle,0.017857142857142794,0.0
gray_mean_p75,0.017857142857142794,0.0
gray_mean_p25,0.017857142857142794,0.0
fps,0.017857142857142794,0.0
gray_end,0.017857142857142794,0.0
hog_mean_82,0.017857142857142794,0.0
gray_std_p10,0.008928571428571397,0.008928571428571397
gray_mean_mean,0.008928571428571397,0.008928571428571397
motion_p25,0.008928571428571397,0.008928571428571397
gray_start,0.008928571428571397,0.008928571428571397
gray_std_p75,0.008928571428571397,0.008928571428571397
hog_mean_94,0.008928571428571397,0.008928571428571397
hog_std_65,0.008928571428571397,0.008928571428571397
hog_mean_33,0.008928571428571397,0.008928571428571397
hog_mean_24,0.008928571428571397,0.008928571428571397
hog_mean_108,0.008928571428571397,0.008928571428571397
hog_mean_25,0.008928571428571397,0.008928571428571397
hog_mean_107,0.008928571428571397,0.008928571428571397
hog_mean_19,0.008928571428571397,0.008928571428571397
hog_mean_53,0.008928571428571397,0.008928571428571397
hog_std_114,0.008928571428571397,0.008928571428571397
hog_mean_9,0.008928571428571397,0.008928571428571397
hog_mean_44,0.008928571428571397,0.008928571428571397
hog_mean_36,0.008928571428571397,0.008928571428571397
hog_mean_92,0.008928571428571397,0.008928571428571397
motion_mean,0.008928571428571397,0.008928571428571397
motion_slope,0.008928571428571397,0.008928571428571397
gray_mean_p90,0.008928571428571397,0.008928571428571397
hog_mean_126,0.008928571428571397,0.008928571428571397
hog_mean_64,0.008928571428571397,0.008928571428571397
hog_mean_70,0.008928571428571397,0.008928571428571397
hog_mean_101,0.0,0.0
hog_mean_34,0.0,0.0
hog_mean_83,0.0,0.0
hog_mean_117,0.0,0.0
hog_mean_116,0.0,0.0
gray_mean_p10,0.0,0.0
motion_p10,0.0,0.0
motion_to_duration,0.0,0.0
sampled_motion_steps,0.0,0.0
gray_std_p25,0.0,0.0
hog_mean_76,0.0,0.0
hog_mean_99,0.0,0.0
hog_mean_20,0.0,0.0
hog_std_56,0.0,0.0
hog_mean_46,0.0,0.0
hog_mean_73,0.0,0.0
hog_mean_114,0.0,0.0
hog_mean_45,0.0,0.0
hog_mean_91,0.0,0.0
hog_mean_7,-1.1102230246251565e-16,0.01785714285714285
hog_mean_17,-1.1102230246251565e-16,0.01785714285714285
sampled_frames,-0.008928571428571508,0.008928571428571452
hog_mean_110,-0.008928571428571508,0.008928571428571452
hog_mean_109,-0.008928571428571508,0.008928571428571452
motion_start,-0.008928571428571508,0.008928571428571452
gray_std_std,-0.008928571428571508,0.008928571428571452
duration_sec,-0.008928571428571508,0.008928571428571452
hog_mean_56,-0.008928571428571508,0.008928571428571452
hog_mean_100,-0.008928571428571508,0.008928571428571452
hog_mean_30,-0.008928571428571508,0.008928571428571452
hog_mean_67,-0.008928571428571508,0.008928571428571452
hog_mean_74,-0.008928571428571508,0.008928571428571452
hog_mean_118,-0.008928571428571508,0.008928571428571452
hog_mean_79,-0.008928571428571508,0.008928571428571452
hog_mean_78,-0.008928571428571508,0.008928571428571452
hog_mean_86,-0.008928571428571508,0.008928571428571452
hog_mean_58,-0.017857142857142905,0.017857142857142905
hog_mean_55,-0.017857142857142905,0.0
gray_trend,-0.017857142857142905,0.0
gray_slope,-0.017857142857142905,0.0
hog_mean_6,-0.017857142857142905,0.0
hog_std_118,-0.017857142857142905,0.0
frame_count,-0.0267857142857143,0.008928571428571452
gray_mean_std,-0.03571428571428581,0.0
